Mon, 22 Jul 2019 09:25:45 : INFO 单机登录，即将测试[RD52_RSU]产品的[RSRB4单板电源&单板功能测试工位]
Mon, 22 Jul 2019 11:37:07 : INFO 单机登录，即将测试[RD52_RSU]产品的[RSRB4单板电源&单板功能测试工位]
Mon, 22 Jul 2019 11:38:06 : INFO 单机登录，即将测试[RD52_RSU]产品的[RSRB4单板电源&单板功能测试工位]
Mon, 22 Jul 2019 12:10:06 : INFO 单机登录，即将测试[RD50C_RSU]产品的[整机测试工位]
Mon, 22 Jul 2019 12:14:09 : INFO 单机登录，即将测试[RD52_RSU]产品的[整机测试工位]
Mon, 22 Jul 2019 15:34:48 : INFO 单机登录，即将测试[RD50C_RSU]产品的[整机测试工位]
Mon, 22 Jul 2019 15:34:52 : INFO 开始测试产品[RD50C_RSU]的[整机测试工位](维修测试)
Mon, 22 Jul 2019 15:34:53 : INFO 由于[用户人工中止]，本次测试流程终止，本次测试结果抛弃！
Mon, 22 Jul 2019 15:34:54 : INFO 检测员[单机]退出
Mon, 22 Jul 2019 15:35:02 : INFO 单机登录，即将测试[RD50C_RSU]产品的[整机测试工位]
Mon, 22 Jul 2019 16:01:16 : INFO 开始测试产品[RD50C_RSU]的[整机测试工位](维修测试)
Mon, 22 Jul 2019 16:01:17 : INFO 写入IP(编号:02)测试失败：写入IP失败，输出:<无>
Mon, 22 Jul 2019 16:01:17 : INFO 产品[RD50C_RSU][整机测试工位]测试完成，结果不通过！
Mon, 22 Jul 2019 16:55:33 : INFO 单机登录，即将测试[RD50C_RSU]产品的[整机测试工位]
Mon, 22 Jul 2019 17:05:56 : INFO 单机登录，即将测试[RD50C_RSU]产品的[整机测试工位]
Mon, 22 Jul 2019 17:05:58 : INFO 开始测试产品[RD50C_RSU]的[整机测试工位](维修测试)
Mon, 22 Jul 2019 17:06:21 : INFO [写入IP]测试成功，输出:ip地址=ip地址写入成功
Mon, 22 Jul 2019 17:06:21 : INFO 产品[RD50C_RSU][整机测试工位]测试完成，测试通过！
Mon, 22 Jul 2019 17:35:50 : INFO 单机登录，即将测试[RD50C_RSU]产品的[整机测试工位]
Mon, 22 Jul 2019 17:35:54 : INFO 开始测试产品[RD50C_RSU]的[整机测试工位](维修测试)
Mon, 22 Jul 2019 17:36:16 : INFO [写入IP]测试成功，输出:ip地址=ip地址写入成功
Mon, 22 Jul 2019 17:36:16 : INFO 产品[RD50C_RSU][整机测试工位]测试完成，测试通过！
Mon, 22 Jul 2019 17:45:59 : INFO 单机登录，即将测试[RD50C_RSU]产品的[整机测试工位]
Mon, 22 Jul 2019 17:46:57 : INFO 开始测试产品[RD50C_RSU]的[RSDB0单板功能测试工位](维修测试)
Mon, 22 Jul 2019 17:46:58 : INFO Opening serial port u'com4'
Mon, 22 Jul 2019 17:47:04 : INFO command:shhtj,response:
Mon, 22 Jul 2019 17:47:09 : INFO command:shhtj,response:
Mon, 22 Jul 2019 17:47:14 : INFO command:shhtj,response:
Mon, 22 Jul 2019 17:47:19 : INFO command:shhtj,response:
Mon, 22 Jul 2019 17:50:25 : INFO command:shhtj,response:
Mon, 22 Jul 2019 17:50:25 : INFO command:shhtj,response:
Mon, 22 Jul 2019 17:50:25 : INFO command:shhtj,response:U-Boot 2011.03-00003-g38fc14f-dirty (Feb 06 2017 - 16:29:59) BSP-UBOOT-01.00.00
Mon, 22 Jul 2019 17:50:25 : INFO command:shhtj,response:
Mon, 22 Jul 2019 17:50:25 : INFO command:shhtj,response:Reset Status:
Mon, 22 Jul 2019 17:50:25 : INFO command:shhtj,response:
Mon, 22 Jul 2019 17:50:25 : INFO command:shhtj,response:CPU:   e300c3, MPC8306, Rev: 1.1 at 266.667 MHz, CSB: 133.333 MHz
Mon, 22 Jul 2019 17:50:25 : INFO command:shhtj,response:DRAM:  64 MiB (DDR2, 64-bit, ECC off, 266.667 MHz)
Mon, 22 Jul 2019 17:50:25 : INFO command:shhtj,response:Flash: 64 MiB
Mon, 22 Jul 2019 17:50:25 : INFO command:shhtj,response:QE: uploading microcode is OK!
Mon, 22 Jul 2019 17:50:25 : INFO command:shhtj,response:Using default environment
Mon, 22 Jul 2019 17:50:25 : INFO command:shhtj,response:
Mon, 22 Jul 2019 17:50:25 : INFO command:shhtj,response:In:    serial
Mon, 22 Jul 2019 17:50:25 : INFO command:shhtj,response:Out:   serial
Mon, 22 Jul 2019 17:50:25 : INFO command:shhtj,response:Err:   serial
Mon, 22 Jul 2019 17:50:25 : INFO command:shhtj,response:Net:   UEC0, UEC1
Mon, 22 Jul 2019 17:50:26 : INFO command:shhtj,response:before download version, you should prepare tftp server
Mon, 22 Jul 2019 17:50:26 : INFO command:shhtj,response:download version steps:
Mon, 22 Jul 2019 17:50:26 : INFO command:shhtj,response:1. setenv ipaddr 192.168.1.210
Mon, 22 Jul 2019 17:50:26 : INFO command:shhtj,response:2. setenv serverip  192.168.1.200
Mon, 22 Jul 2019 17:50:26 : INFO command:shhtj,response:3. download  #download appversion and sysversion
Mon, 22 Jul 2019 17:50:26 : INFO command:shhtj,response:dlsys  #download sysversion
Mon, 22 Jul 2019 17:50:26 : INFO command:shhtj,response:dlapp #download appversion
Mon, 22 Jul 2019 17:50:26 : INFO command:shhtj,response:dlboot #download boot
Mon, 22 Jul 2019 17:50:26 : INFO command:shhtj,response:4. reset
Mon, 22 Jul 2019 17:50:27 : INFO command:download,response:v ipaddr 192.168.1.254
Mon, 22 Jul 2019 17:50:27 : INFO command:download,response:=> setenv serverip 192.168.1.252
Mon, 22 Jul 2019 17:50:27 : INFO command:download,response:=> setenv ethact UEC1
Mon, 22 Jul 2019 17:50:27 : INFO command:download,response:=> download
Mon, 22 Jul 2019 17:50:27 : INFO command:download,response:UEC: PHY is Fixed PHY (ffffffff)
Mon, 22 Jul 2019 17:50:27 : INFO command:download,response:Waiting for PHY auto negotiation to complete done
Mon, 22 Jul 2019 17:50:29 : INFO command:download,response:UEC1: Full Duplex
Mon, 22 Jul 2019 17:50:29 : INFO command:download,response:UEC1: Speed 100BT
Mon, 22 Jul 2019 17:50:29 : INFO command:download,response:UEC1: Link is up
Mon, 22 Jul 2019 17:50:29 : INFO command:download,response:Using UEC1 device
Mon, 22 Jul 2019 17:50:29 : INFO command:download,response:TFTP from server 192.168.1.252; our IP address is 192.168.1.254
Mon, 22 Jul 2019 17:50:29 : INFO command:download,response:Filename 'sysversion'.
Mon, 22 Jul 2019 17:50:29 : INFO command:download,response:Load address: 0x500000
Mon, 22 Jul 2019 17:50:29 : INFO command:download,response:Loading: *#################################################################
Mon, 22 Jul 2019 17:50:29 : INFO command:download,response:#################################################################
Mon, 22 Jul 2019 17:50:30 : INFO command:download,response:#################################################################
Mon, 22 Jul 2019 17:50:30 : INFO command:download,response:#################################################################
Mon, 22 Jul 2019 17:50:30 : INFO command:download,response:#################################################################
