Tue, 30 Jul 2019 10:27:51 : INFO 单机登录，即将测试[RD52_RSU]产品的[RSDB5单板EPLD下载工位]
Tue, 30 Jul 2019 10:28:04 : INFO 检测员[单机]退出
Tue, 30 Jul 2019 10:28:08 : INFO 单机登录，即将测试[RD52_RSU]产品的[RSDB5单板EPLD下载工位]
Tue, 30 Jul 2019 10:55:44 : INFO 单机登录，即将测试[RD52_RSU]产品的[RSDB5单板EPLD下载工位]
Tue, 30 Jul 2019 10:57:12 : INFO 单机登录，即将测试[RD50C_RSU]产品的[RSDB0单板功能测试工位]
Tue, 30 Jul 2019 10:57:56 : INFO 开始测试产品[RD50C_RSU]的[RSDB0单板功能测试工位](维修测试)
Tue, 30 Jul 2019 10:57:57 : INFO Opening serial port u'com4'
Tue, 30 Jul 2019 10:58:00 : INFO command:shhtj,response:
Tue, 30 Jul 2019 10:58:00 : INFO command:shhtj,response:
Tue, 30 Jul 2019 10:58:00 : INFO command:shhtj,response:U-Boot 2011.03-00003-g38fc14f-dirty (Feb 06 2017 - 16:29:59) BSP-UBOOT-01.00.00
Tue, 30 Jul 2019 10:58:00 : INFO command:shhtj,response:
Tue, 30 Jul 2019 10:58:00 : INFO command:shhtj,response:Reset Status:
Tue, 30 Jul 2019 10:58:00 : INFO command:shhtj,response:
Tue, 30 Jul 2019 10:58:00 : INFO command:shhtj,response:CPU:   e300c3, MPC8306, Rev: 1.1 at 266.667 MHz, CSB: 133.333 MHz
Tue, 30 Jul 2019 10:58:00 : INFO command:shhtj,response:DRAM:  64 MiB (DDR2, 64-bit, ECC off, 266.667 MHz)
Tue, 30 Jul 2019 10:58:00 : INFO command:shhtj,response:Flash: 64 MiB
Tue, 30 Jul 2019 10:58:00 : INFO command:shhtj,response:QE: uploading microcode is OK!
Tue, 30 Jul 2019 10:58:00 : INFO command:shhtj,response:Using default environment
Tue, 30 Jul 2019 10:58:00 : INFO command:shhtj,response:
Tue, 30 Jul 2019 10:58:00 : INFO command:shhtj,response:In:    serial
Tue, 30 Jul 2019 10:58:00 : INFO command:shhtj,response:Out:   serial
Tue, 30 Jul 2019 10:58:00 : INFO command:shhtj,response:Err:   serial
Tue, 30 Jul 2019 10:58:00 : INFO command:shhtj,response:Net:   UEC0, UEC1
Tue, 30 Jul 2019 10:58:01 : INFO command:shhtj,response:before download version, you should prepare tftp server
Tue, 30 Jul 2019 10:58:01 : INFO command:shhtj,response:download version steps:
Tue, 30 Jul 2019 10:58:01 : INFO command:shhtj,response:1. setenv ipaddr 192.168.1.210
Tue, 30 Jul 2019 10:58:01 : INFO command:shhtj,response:2. setenv serverip  192.168.1.200
Tue, 30 Jul 2019 10:58:01 : INFO command:shhtj,response:3. download  #download appversion and sysversion
Tue, 30 Jul 2019 10:58:01 : INFO command:shhtj,response:dlsys  #download sysversion
Tue, 30 Jul 2019 10:58:01 : INFO command:shhtj,response:dlapp #download appversion
Tue, 30 Jul 2019 10:58:01 : INFO command:shhtj,response:dlboot #download boot
Tue, 30 Jul 2019 10:58:01 : INFO command:shhtj,response:4. reset
Tue, 30 Jul 2019 10:58:02 : INFO command:download,response:setenv ipaddr 192.168.1.254
Tue, 30 Jul 2019 10:58:02 : INFO command:download,response:=> setenv serverip 192.168.1.252
Tue, 30 Jul 2019 10:58:02 : INFO command:download,response:=> setenv ethact UEC1
Tue, 30 Jul 2019 10:58:02 : INFO command:download,response:=> download
Tue, 30 Jul 2019 10:58:02 : INFO command:download,response:UEC: PHY is Fixed PHY (ffffffff)
Tue, 30 Jul 2019 10:58:02 : INFO command:download,response:Waiting for PHY auto negotiation to complete done
Tue, 30 Jul 2019 10:58:04 : INFO command:download,response:UEC1: Full Duplex
Tue, 30 Jul 2019 10:58:04 : INFO command:download,response:UEC1: Speed 100BT
Tue, 30 Jul 2019 10:58:04 : INFO command:download,response:UEC1: Link is up
Tue, 30 Jul 2019 10:58:04 : INFO command:download,response:Using UEC1 device
Tue, 30 Jul 2019 10:58:04 : INFO command:download,response:TFTP from server 192.168.1.252; our IP address is 192.168.1.254
Tue, 30 Jul 2019 10:58:04 : INFO command:download,response:Filename 'sysversion'.
Tue, 30 Jul 2019 10:58:04 : INFO command:download,response:Load address: 0x500000
Tue, 30 Jul 2019 10:58:04 : INFO command:download,response:Loading: *#################################################################
Tue, 30 Jul 2019 10:58:04 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:04 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:05 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:05 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:05 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:05 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:05 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:06 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:06 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:06 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:06 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:06 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:07 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:07 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:07 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:07 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:07 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:08 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:08 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:08 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:08 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:09 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:09 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:09 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:09 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:10 : INFO command:download,response:#################################################################
Tue, 30 Jul 2019 10:58:10 : INFO command:download,response:####################################################
Tue, 30 Jul 2019 10:58:10 : INFO command:download,response:done
Tue, 30 Jul 2019 10:58:10 : INFO command:download,response:Bytes transferred = 9247803 (8d1c3b hex)
Tue, 30 Jul 2019 10:58:10 : INFO command:download,response:vernum = 1.00.00 ls=1888761 rs=7345730 ds =12288
Tue, 30 Jul 2019 10:58:10 : INFO command:download,response:Un-Protect Flash Bank # 1
Tue, 30 Jul 2019 10:58:10 : INFO command:download,response:....................................................................................................
Tue, 30 Jul 2019 10:58:10 : INFO command:download,response:....................................................................................................
Tue, 30 Jul 2019 10:58:10 : INFO command:download,response:....................................................................................................
Tue, 30 Jul 2019 10:58:10 : INFO command:download,response:....................................................................................................
Tue, 30 Jul 2019 10:58:10 : INFO command:download,response:....................................................................................................
Tue, 30 Jul 2019 10:58:10 : INFO command:download,response:............ done
Tue, 30 Jul 2019 10:58:10 : INFO command:download,response:
Tue, 30 Jul 2019 10:58:19 : INFO command:download,response:....................... done
Tue, 30 Jul 2019 10:58:19 : INFO command:download,response:Erased 23 sectors
Tue, 30 Jul 2019 10:58:24 : INFO command:download,response:Copy to Flash...
Tue, 30 Jul 2019 10:58:25 : INFO command:download,response:done
Tue, 30 Jul 2019 10:58:25 : INFO command:download,response:
Tue, 30 Jul 2019 10:58:58 : INFO command:download,response:................................................................................ done
Tue, 30 Jul 2019 10:58:58 : INFO command:download,response:Erased 80 sectors
Tue, 30 Jul 2019 10:59:03 : INFO command:download,response:Copy to Flash...
Tue, 30 Jul 2019 10:59:08 : INFO command:download,response:
Tue, 30 Jul 2019 10:59:13 : INFO command:download,response:
