Tue, 06 Aug 2019 09:15:32 : INFO 单机登录，即将测试[RD50C_RSU]产品的[老化测试工位]
Tue, 06 Aug 2019 09:20:26 : INFO 单机登录，即将测试[RD50C_RSU]产品的[老化测试工位]
Tue, 06 Aug 2019 09:22:37 : INFO 开始测试产品[RD50C_RSU]的[RSDB0单板功能测试工位](维修测试)
Tue, 06 Aug 2019 09:22:39 : INFO Opening serial port u'com4'
Tue, 06 Aug 2019 09:22:42 : INFO command:shhtj,response:
Tue, 06 Aug 2019 09:22:42 : INFO command:shhtj,response:
Tue, 06 Aug 2019 09:22:42 : INFO command:shhtj,response:U-Boot 2011.03-00003-g38fc14f-dirty (Feb 06 2017 - 16:29:59) BSP-UBOOT-01.00.00
Tue, 06 Aug 2019 09:22:42 : INFO command:shhtj,response:
Tue, 06 Aug 2019 09:22:42 : INFO command:shhtj,response:Reset Status:
Tue, 06 Aug 2019 09:22:42 : INFO command:shhtj,response:
Tue, 06 Aug 2019 09:22:42 : INFO command:shhtj,response:CPU:   e300c3, MPC8306, Rev: 1.1 at 266.667 MHz, CSB: 133.333 MHz
Tue, 06 Aug 2019 09:22:42 : INFO command:shhtj,response:DRAM:  64 MiB (DDR2, 64-bit, ECC off, 266.667 MHz)
Tue, 06 Aug 2019 09:22:42 : INFO command:shhtj,response:Flash: 64 MiB
Tue, 06 Aug 2019 09:22:42 : INFO command:shhtj,response:QE: uploading microcode is OK!
Tue, 06 Aug 2019 09:22:42 : INFO command:shhtj,response:Using default environment
Tue, 06 Aug 2019 09:22:42 : INFO command:shhtj,response:
Tue, 06 Aug 2019 09:22:42 : INFO command:shhtj,response:In:    serial
Tue, 06 Aug 2019 09:22:42 : INFO command:shhtj,response:Out:   serial
Tue, 06 Aug 2019 09:22:42 : INFO command:shhtj,response:Err:   serial
Tue, 06 Aug 2019 09:22:42 : INFO command:shhtj,response:Net:   UEC0, UEC1
Tue, 06 Aug 2019 09:22:43 : INFO command:shhtj,response:before download version, you should prepare tftp server
Tue, 06 Aug 2019 09:22:43 : INFO command:shhtj,response:download version steps:
Tue, 06 Aug 2019 09:22:43 : INFO command:shhtj,response:1. setenv ipaddr 192.168.1.210
Tue, 06 Aug 2019 09:22:43 : INFO command:shhtj,response:2. setenv serverip  192.168.1.200
Tue, 06 Aug 2019 09:22:43 : INFO command:shhtj,response:3. download  #download appversion and sysversion
Tue, 06 Aug 2019 09:22:43 : INFO command:shhtj,response:dlsys  #download sysversion
Tue, 06 Aug 2019 09:22:43 : INFO command:shhtj,response:dlapp #download appversion
Tue, 06 Aug 2019 09:22:43 : INFO command:shhtj,response:dlboot #download boot
Tue, 06 Aug 2019 09:22:43 : INFO command:shhtj,response:4. reset
Tue, 06 Aug 2019 09:22:44 : INFO command:download,response:tenv ipaddr 192.168.1.254
Tue, 06 Aug 2019 09:22:44 : INFO command:download,response:=> setenv serverip 192.168.1.252
Tue, 06 Aug 2019 09:22:44 : INFO command:download,response:=> setenv ethact UEC1
Tue, 06 Aug 2019 09:22:44 : INFO command:download,response:=> download
Tue, 06 Aug 2019 09:22:44 : INFO command:download,response:UEC: PHY is Fixed PHY (ffffffff)
Tue, 06 Aug 2019 09:22:44 : INFO command:download,response:Waiting for PHY auto negotiation to complete done
Tue, 06 Aug 2019 09:22:46 : INFO command:download,response:UEC1: Full Duplex
Tue, 06 Aug 2019 09:22:46 : INFO command:download,response:UEC1: Speed 100BT
Tue, 06 Aug 2019 09:22:46 : INFO command:download,response:UEC1: Link is up
Tue, 06 Aug 2019 09:22:46 : INFO command:download,response:Using UEC1 device
Tue, 06 Aug 2019 09:22:46 : INFO command:download,response:TFTP from server 192.168.1.252; our IP address is 192.168.1.254
Tue, 06 Aug 2019 09:22:46 : INFO command:download,response:Filename 'sysversion'.
Tue, 06 Aug 2019 09:22:46 : INFO command:download,response:Load address: 0x500000
Tue, 06 Aug 2019 09:22:46 : INFO command:download,response:Loading: *#################################################################
Tue, 06 Aug 2019 09:22:46 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:47 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:47 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:47 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:47 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:47 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:48 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:48 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:48 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:48 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:48 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:49 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:49 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:49 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:49 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:50 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:50 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:50 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:50 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:50 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:51 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:51 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:51 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:51 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:51 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:52 : INFO command:download,response:#################################################################
Tue, 06 Aug 2019 09:22:52 : INFO command:download,response:####################################################
Tue, 06 Aug 2019 09:22:52 : INFO command:download,response:done
Tue, 06 Aug 2019 09:22:52 : INFO command:download,response:Bytes transferred = 9247803 (8d1c3b hex)
Tue, 06 Aug 2019 09:22:52 : INFO command:download,response:vernum = 1.00.00 ls=1888761 rs=7345730 ds =12288
Tue, 06 Aug 2019 09:22:52 : INFO command:download,response:Un-Protect Flash Bank # 1
Tue, 06 Aug 2019 09:22:52 : INFO command:download,response:....................................................................................................
Tue, 06 Aug 2019 09:22:52 : INFO command:download,response:....................................................................................................
