Wed, 07 Aug 2019 16:39:07 : INFO 单机登录，即将测试[RD50C_RSU]产品的[RSDB0单板功能测试工位]
Wed, 07 Aug 2019 16:39:31 : INFO 单机登录，即将测试[RD52_RSU]产品的[RSDB5单板功能测试工位]
Wed, 07 Aug 2019 16:39:33 : INFO 检测员[单机]退出
Wed, 07 Aug 2019 16:39:37 : INFO 单机登录，即将测试[RD52_RSU]产品的[RSDB5单板功能测试工位]
Wed, 07 Aug 2019 16:39:49 : INFO 开始测试产品[RD52_RSU]的[RSDB5单板功能测试工位](维修测试)
Wed, 07 Aug 2019 16:39:51 : INFO Opening serial port u'com4'
Wed, 07 Aug 2019 16:39:53 : INFO command:shhtj,response:
Wed, 07 Aug 2019 16:39:53 : INFO command:shhtj,response:
Wed, 07 Aug 2019 16:39:53 : INFO command:shhtj,response:U-Boot 2011.03-00003-g38fc14f-dirty (Feb 06 2017 - 16:29:59) BSP-UBOOT-01.00.00
Wed, 07 Aug 2019 16:39:53 : INFO command:shhtj,response:
Wed, 07 Aug 2019 16:39:53 : INFO command:shhtj,response:Reset Status:
Wed, 07 Aug 2019 16:39:53 : INFO command:shhtj,response:
Wed, 07 Aug 2019 16:39:53 : INFO command:shhtj,response:CPU:   e300c3, MPC8306, Rev: 1.1 at 266.667 MHz, CSB: 133.333 MHz
Wed, 07 Aug 2019 16:39:53 : INFO command:shhtj,response:DRAM:  64 MiB (DDR2, 64-bit, ECC off, 266.667 MHz)
Wed, 07 Aug 2019 16:39:54 : INFO command:shhtj,response:Flash: 64 MiB
Wed, 07 Aug 2019 16:39:54 : INFO command:shhtj,response:QE: uploading microcode is OK!
Wed, 07 Aug 2019 16:39:54 : INFO command:shhtj,response:Using default environment
Wed, 07 Aug 2019 16:39:54 : INFO command:shhtj,response:
Wed, 07 Aug 2019 16:39:54 : INFO command:shhtj,response:In:    serial
Wed, 07 Aug 2019 16:39:54 : INFO command:shhtj,response:Out:   serial
Wed, 07 Aug 2019 16:39:54 : INFO command:shhtj,response:Err:   serial
Wed, 07 Aug 2019 16:39:54 : INFO command:shhtj,response:Net:   UEC0, UEC1
Wed, 07 Aug 2019 16:39:55 : INFO command:shhtj,response:before download version, you should prepare tftp server
Wed, 07 Aug 2019 16:39:55 : INFO command:shhtj,response:download version steps:
Wed, 07 Aug 2019 16:39:55 : INFO command:shhtj,response:1. setenv ipaddr 192.168.1.210
Wed, 07 Aug 2019 16:39:55 : INFO command:shhtj,response:2. setenv serverip  192.168.1.200
Wed, 07 Aug 2019 16:39:55 : INFO command:shhtj,response:3. download  #download appversion and sysversion
Wed, 07 Aug 2019 16:39:55 : INFO command:shhtj,response:dlsys  #download sysversion
Wed, 07 Aug 2019 16:39:55 : INFO command:shhtj,response:dlapp #download appversion
Wed, 07 Aug 2019 16:39:55 : INFO command:shhtj,response:dlboot #download boot
Wed, 07 Aug 2019 16:39:55 : INFO command:shhtj,response:4. reset
