Thu, 08 Aug 2019 09:23:43 : INFO 单机登录，即将测试[RD52_RSU]产品的[RSDB5单板功能测试工位]
Thu, 08 Aug 2019 09:25:16 : INFO 开始测试产品[RD52_RSU]的[RSDB5单板功能测试工位](维修测试)
Thu, 08 Aug 2019 09:25:18 : INFO Opening serial port u'com4'
Thu, 08 Aug 2019 09:25:20 : INFO command:shhtj,response:
Thu, 08 Aug 2019 09:25:20 : INFO command:shhtj,response:
Thu, 08 Aug 2019 09:25:20 : INFO command:shhtj,response:U-Boot 2011.03-00003-g38fc14f-dirty (Feb 06 2017 - 16:29:59) BSP-UBOOT-01.00.00
Thu, 08 Aug 2019 09:25:20 : INFO command:shhtj,response:
Thu, 08 Aug 2019 09:25:20 : INFO command:shhtj,response:Reset Status:
Thu, 08 Aug 2019 09:25:20 : INFO command:shhtj,response:
Thu, 08 Aug 2019 09:25:20 : INFO command:shhtj,response:CPU:   e300c3, MPC8306, Rev: 1.1 at 266.667 MHz, CSB: 133.333 MHz
Thu, 08 Aug 2019 09:25:20 : INFO command:shhtj,response:DRAM:  64 MiB (DDR2, 64-bit, ECC off, 266.667 MHz)
Thu, 08 Aug 2019 09:25:20 : INFO command:shhtj,response:Flash: 64 MiB
Thu, 08 Aug 2019 09:25:20 : INFO command:shhtj,response:QE: uploading microcode is OK!
Thu, 08 Aug 2019 09:25:20 : INFO command:shhtj,response:Using default environment
Thu, 08 Aug 2019 09:25:20 : INFO command:shhtj,response:
Thu, 08 Aug 2019 09:25:20 : INFO command:shhtj,response:In:    serial
Thu, 08 Aug 2019 09:25:20 : INFO command:shhtj,response:Out:   serial
Thu, 08 Aug 2019 09:25:20 : INFO command:shhtj,response:Err:   serial
Thu, 08 Aug 2019 09:25:20 : INFO command:shhtj,response:Net:   UEC0, UEC1
Thu, 08 Aug 2019 09:25:21 : INFO command:shhtj,response:before download version, you should prepare tftp server
Thu, 08 Aug 2019 09:25:21 : INFO command:shhtj,response:download version steps:
Thu, 08 Aug 2019 09:25:21 : INFO command:shhtj,response:1. setenv ipaddr 192.168.1.210
Thu, 08 Aug 2019 09:25:21 : INFO command:shhtj,response:2. setenv serverip  192.168.1.200
Thu, 08 Aug 2019 09:25:21 : INFO command:shhtj,response:3. download  #download appversion and sysversion
Thu, 08 Aug 2019 09:25:21 : INFO command:shhtj,response:dlsys  #download sysversion
Thu, 08 Aug 2019 09:25:21 : INFO command:shhtj,response:dlapp #download appversion
Thu, 08 Aug 2019 09:25:21 : INFO command:shhtj,response:dlboot #download boot
Thu, 08 Aug 2019 09:25:21 : INFO command:shhtj,response:4. reset
Thu, 08 Aug 2019 09:25:22 : INFO command:download,response:tenv ipaddr 192.168.1.254
Thu, 08 Aug 2019 09:25:22 : INFO command:download,response:=> setenv serverip 192.168.1.252
Thu, 08 Aug 2019 09:25:22 : INFO command:download,response:=> download
Thu, 08 Aug 2019 09:25:22 : INFO command:download,response:UEC: PHY is Fixed PHY (ffffffff)
Thu, 08 Aug 2019 09:25:22 : INFO command:download,response:Waiting for PHY auto negotiation to complete done
Thu, 08 Aug 2019 09:25:24 : INFO command:download,response:UEC0: Full Duplex
Thu, 08 Aug 2019 09:25:24 : INFO command:download,response:UEC0: Speed 100BT
Thu, 08 Aug 2019 09:25:24 : INFO command:download,response:UEC0: Link is up
Thu, 08 Aug 2019 09:25:24 : INFO command:download,response:Using UEC0 device
Thu, 08 Aug 2019 09:25:24 : INFO command:download,response:TFTP from server 192.168.1.252; our IP address is 192.168.1.254
Thu, 08 Aug 2019 09:25:24 : INFO command:download,response:Filename 'sysversion'.
Thu, 08 Aug 2019 09:25:24 : INFO command:download,response:Load address: 0x500000
Thu, 08 Aug 2019 09:25:24 : INFO command:download,response:Loading: *#################################################################
Thu, 08 Aug 2019 09:25:24 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:25 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:25 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:25 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:25 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:25 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:26 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:26 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:26 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:26 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:26 : INFO command:download,response:#################################################################
Thu, 08 Aug 2019 09:25:27 : INFO command:download,response:#################################################################
