Fri, 09 Aug 2019 09:05:38 : INFO 单机登录，即将测试[RD52_RSU]产品的[RSDB5单板功能测试工位]
Fri, 09 Aug 2019 09:05:47 : INFO 开始测试产品[RD52_RSU]的[RSDB5单板功能测试工位](维修测试)
Fri, 09 Aug 2019 09:05:49 : INFO Opening serial port u'com4'
Fri, 09 Aug 2019 09:05:51 : INFO command:shhtj,response:
Fri, 09 Aug 2019 09:05:51 : INFO command:shhtj,response:
Fri, 09 Aug 2019 09:05:51 : INFO command:shhtj,response:U-Boot 2011.03-00003-g38fc14f-dirty (Feb 06 2017 - 16:29:59) BSP-UBOOT-01.00.00
Fri, 09 Aug 2019 09:05:51 : INFO command:shhtj,response:
Fri, 09 Aug 2019 09:05:51 : INFO command:shhtj,response:Reset Status:
Fri, 09 Aug 2019 09:05:51 : INFO command:shhtj,response:
Fri, 09 Aug 2019 09:05:51 : INFO command:shhtj,response:CPU:   e300c3, MPC8306, Rev: 1.1 at 266.667 MHz, CSB: 133.333 MHz
Fri, 09 Aug 2019 09:05:51 : INFO command:shhtj,response:DRAM:  64 MiB (DDR2, 64-bit, ECC off, 266.667 MHz)
Fri, 09 Aug 2019 09:05:52 : INFO command:shhtj,response:
Fri, 09 Aug 2019 09:05:52 : INFO command:shhtj,response:
Fri, 09 Aug 2019 09:05:52 : INFO command:shhtj,response:U-Boot 2011.03-00003-g38fc14f-dirty (Feb 06 2017 - 16:29:59) BSP-UBOOT-01.00.00
Fri, 09 Aug 2019 09:05:52 : INFO command:shhtj,response:
Fri, 09 Aug 2019 09:05:52 : INFO command:shhtj,response:Reset Status:
Fri, 09 Aug 2019 09:05:52 : INFO command:shhtj,response:
Fri, 09 Aug 2019 09:05:52 : INFO command:shhtj,response:CPU:   e300c3, MPC8306, Rev: 1.1 at 266.667 MHz, CSB: 133.333 MHz
Fri, 09 Aug 2019 09:05:52 : INFO command:shhtj,response:DRAM:  64 MiB (DDR2, 64-bit, ECC off, 266.667 MHz)
Fri, 09 Aug 2019 09:05:52 : INFO command:shhtj,response:Flash: 64 MiB
Fri, 09 Aug 2019 09:05:52 : INFO command:shhtj,response:QE: uploading microcode is OK!
Fri, 09 Aug 2019 09:05:52 : INFO command:shhtj,response:Using default environment
Fri, 09 Aug 2019 09:05:52 : INFO command:shhtj,response:
Fri, 09 Aug 2019 09:05:52 : INFO command:shhtj,response:In:    serial
Fri, 09 Aug 2019 09:05:52 : INFO command:shhtj,response:Out:   serial
Fri, 09 Aug 2019 09:05:52 : INFO command:shhtj,response:Err:   serial
Fri, 09 Aug 2019 09:05:52 : INFO command:shhtj,response:Net:   UEC0, UEC1
Fri, 09 Aug 2019 09:05:53 : INFO command:shhtj,response:before download version, you should prepare tftp server
Fri, 09 Aug 2019 09:05:53 : INFO command:shhtj,response:download version steps:
Fri, 09 Aug 2019 09:05:53 : INFO command:shhtj,response:1. setenv ipaddr 192.168.1.210
Fri, 09 Aug 2019 09:05:53 : INFO command:shhtj,response:2. setenv serverip  192.168.1.200
Fri, 09 Aug 2019 09:05:53 : INFO command:shhtj,response:3. download  #download appversion and sysversion
Fri, 09 Aug 2019 09:05:53 : INFO command:shhtj,response:dlsys  #download sysversion
Fri, 09 Aug 2019 09:05:53 : INFO command:shhtj,response:dlapp #download appversion
Fri, 09 Aug 2019 09:05:53 : INFO command:shhtj,response:dlboot #download boot
Fri, 09 Aug 2019 09:05:53 : INFO command:shhtj,response:4. reset
Fri, 09 Aug 2019 09:05:54 : INFO command:download,response:setenv ipaddr 192.168.1.254
Fri, 09 Aug 2019 09:05:54 : INFO command:download,response:=> setenv serverip 192.168.1.252
Fri, 09 Aug 2019 09:05:54 : INFO command:download,response:=> download
Fri, 09 Aug 2019 09:05:54 : INFO command:download,response:UEC: PHY is Fixed PHY (ffffffff)
Fri, 09 Aug 2019 09:05:54 : INFO command:download,response:Waiting for PHY auto negotiation to complete done
Fri, 09 Aug 2019 09:05:56 : INFO command:download,response:UEC0: Full Duplex
Fri, 09 Aug 2019 09:05:56 : INFO command:download,response:UEC0: Speed 100BT
Fri, 09 Aug 2019 09:05:56 : INFO command:download,response:UEC0: Link is up
Fri, 09 Aug 2019 09:05:56 : INFO command:download,response:Using UEC0 device
Fri, 09 Aug 2019 09:05:56 : INFO command:download,response:TFTP from server 192.168.1.252; our IP address is 192.168.1.254
Fri, 09 Aug 2019 09:05:56 : INFO command:download,response:Filename 'sysversion'.
Fri, 09 Aug 2019 09:05:56 : INFO command:download,response:Load address: 0x500000
Fri, 09 Aug 2019 09:05:56 : INFO command:download,response:Loading: *#################################################################
Fri, 09 Aug 2019 09:05:56 : INFO command:download,response:#################################################################
Fri, 09 Aug 2019 09:05:57 : INFO command:download,response:#################################################################
Fri, 09 Aug 2019 09:05:57 : INFO command:download,response:#################################################################
Fri, 09 Aug 2019 09:05:57 : INFO command:download,response:#################################################################
Fri, 09 Aug 2019 09:05:57 : INFO command:download,response:#################################################################
Fri, 09 Aug 2019 09:05:57 : INFO command:download,response:#################################################################
Fri, 09 Aug 2019 09:05:58 : INFO command:download,response:#################################################################
Fri, 09 Aug 2019 09:05:58 : INFO command:download,response:#################################################################
Fri, 09 Aug 2019 09:05:58 : INFO command:download,response:#################################################################
Fri, 09 Aug 2019 09:05:58 : INFO command:download,response:#################################################################
Fri, 09 Aug 2019 09:05:58 : INFO command:download,response:#################################################################
Fri, 09 Aug 2019 09:05:58 : INFO command:download,response:#################################################################
Fri, 09 Aug 2019 09:05:59 : INFO command:download,response:#################################################################
Fri, 09 Aug 2019 09:05:59 : INFO command:download,response:#################################################################
Fri, 09 Aug 2019 09:05:59 : INFO command:download,response:#################################################################
Fri, 09 Aug 2019 09:05:59 : INFO command:download,response:#################################################################
Fri, 09 Aug 2019 09:05:59 : INFO command:download,response:#################################################################
