Mon, 12 Aug 2019 10:21:06 : INFO 单机登录，即将测试[RD52_RSU]产品的[RSDB5单板功能测试工位]
Mon, 12 Aug 2019 10:21:40 : INFO 开始测试产品[RD52_RSU]的[RSDB5单板功能测试工位](维修测试)
Mon, 12 Aug 2019 10:21:41 : INFO Opening serial port u'com4'
Mon, 12 Aug 2019 10:21:44 : INFO command:shhtj,response:
Mon, 12 Aug 2019 10:21:44 : INFO command:shhtj,response:
Mon, 12 Aug 2019 10:21:44 : INFO command:shhtj,response:U-Boot 2011.03-00003-g38fc14f-dirty (Feb 06 2017 - 16:29:59) BSP-UBOOT-01.00.00
Mon, 12 Aug 2019 10:21:44 : INFO command:shhtj,response:
Mon, 12 Aug 2019 10:21:44 : INFO command:shhtj,response:Reset Status:
Mon, 12 Aug 2019 10:21:44 : INFO command:shhtj,response:
Mon, 12 Aug 2019 10:21:44 : INFO command:shhtj,response:CPU:   e300c3, MPC8306, Rev: 1.1 at 266.667 MHz, CSB: 133.333 MHz
Mon, 12 Aug 2019 10:21:44 : INFO command:shhtj,response:DRAM:  64 MiB (DDR2, 64-bit, ECC off, 266.667 MHz)
Mon, 12 Aug 2019 10:21:45 : INFO command:shhtj,response:Flash: 64 MiB
Mon, 12 Aug 2019 10:21:45 : INFO command:shhtj,response:QE: uploading microcode is OK!
Mon, 12 Aug 2019 10:21:45 : INFO command:shhtj,response:Using default environment
Mon, 12 Aug 2019 10:21:45 : INFO command:shhtj,response:
Mon, 12 Aug 2019 10:21:45 : INFO command:shhtj,response:In:    serial
Mon, 12 Aug 2019 10:21:45 : INFO command:shhtj,response:Out:   serial
Mon, 12 Aug 2019 10:21:45 : INFO command:shhtj,response:Err:   serial
Mon, 12 Aug 2019 10:21:45 : INFO command:shhtj,response:Net:   UEC0, UEC1
Mon, 12 Aug 2019 10:21:46 : INFO command:shhtj,response:before download version, you should prepare tftp server
Mon, 12 Aug 2019 10:21:46 : INFO command:shhtj,response:download version steps:
Mon, 12 Aug 2019 10:21:46 : INFO command:shhtj,response:1. setenv ipaddr 192.168.1.210
Mon, 12 Aug 2019 10:21:46 : INFO command:shhtj,response:2. setenv serverip  192.168.1.200
