Wed, 14 Aug 2019 13:39:04 : INFO 单机登录，即将测试[RD52_RSU]产品的[RSDB5单板功能测试工位]
Wed, 14 Aug 2019 13:39:52 : INFO 开始测试产品[RD52_RSU]的[RSDB5单板功能测试工位](维修测试)
Wed, 14 Aug 2019 13:39:53 : INFO Opening serial port u'com4'
Wed, 14 Aug 2019 13:39:55 : INFO command:shhtj,response:
Wed, 14 Aug 2019 13:39:55 : INFO command:shhtj,response:
Wed, 14 Aug 2019 13:39:55 : INFO command:shhtj,response:U-Boot 2011.03-00003-g38fc14f-dirty (Feb 06 2017 - 16:29:59) BSP-UBOOT-01.00.00
Wed, 14 Aug 2019 13:39:55 : INFO command:shhtj,response:
Wed, 14 Aug 2019 13:39:55 : INFO command:shhtj,response:Reset Status:
Wed, 14 Aug 2019 13:39:55 : INFO command:shhtj,response:
Wed, 14 Aug 2019 13:39:55 : INFO command:shhtj,response:CPU:   e300c3, MPC8306, Rev: 1.1 at 266.667 MHz, CSB: 133.333 MHz
Wed, 14 Aug 2019 13:39:55 : INFO command:shhtj,response:DRAM:  64 MiB (DDR2, 64-bit, ECC off, 266.667 MHz)
Wed, 14 Aug 2019 13:39:55 : INFO command:shhtj,response:Flash: 64 MiB
Wed, 14 Aug 2019 13:39:55 : INFO command:shhtj,response:QE: uploading microcode is OK!
Wed, 14 Aug 2019 13:39:55 : INFO command:shhtj,response:Using default environment
Wed, 14 Aug 2019 13:39:55 : INFO command:shhtj,response:
Wed, 14 Aug 2019 13:39:55 : INFO command:shhtj,response:In:    serial
Wed, 14 Aug 2019 13:39:55 : INFO command:shhtj,response:Out:   serial
Wed, 14 Aug 2019 13:39:55 : INFO command:shhtj,response:Err:   serial
Wed, 14 Aug 2019 13:39:55 : INFO command:shhtj,response:Net:   UEC0, UEC1
Wed, 14 Aug 2019 13:39:56 : INFO command:shhtj,response:before download version, you should prepare tftp server
Wed, 14 Aug 2019 13:39:56 : INFO command:shhtj,response:download version steps:
